BKK,20.5
BKK,20.5
เชียงราย,30.0 °C
เชียงใหม่,32.6 °C
แม่ฮ่องสอน,32.3 °C
ตาก,31.3 °C
น่าน,31.0 °C
อุตรดิตถ์,32.4 °C
พิษณุโลก,32.0 °C
กำแพงเพชร,32.8 °C
พิจิตร,32.2 °C
สุโขทัย,33.8 °C
พะเยา,29.7 °C
ลำพูน,32.0 °C
ลำปาง,31.7 °C
แพร่,31.8 °C
เพชรบูรณ์,29.0 °C
หนองคาย,32.2 °C
เลย,32.5 °C
ขอนแก่น,28.5 °C
อุบลราชธานี,25.9 °C
นครราชสีมา,32.2 °C
ร้อยเอ็ด,27.0 °C
มุกดาหาร,30.0 °C
อุดรธานี,31.1 °C
หนองบัวลำภู,29.7 °C
นครพนม,30.1 °C
สกลนคร,29.8 °C
มหาสารคาม,29.0 °C
กาฬสินธุ์,26.8 °C
ชัยภูมิ,29.8 °C
ศรีสะเกษ,29.4 °C
ยโสธร,25.6 °C
สุรินทร์,28.9 °C
บุรีรัมย์,29.2 °C
อำนาจเจริญ,25.2 °C
กาญจนบุรี,32.0 °C
นครสวรรค์,26.5 °C
กรุงเทพมหานคร,30.5 °C
สุพรรณบุรี,30.4 °C
ชัยนาท,28.1 °C
ลพบุรี,27.5 °C
พระนครศรีอยุธยา,28.3 °C
ราชบุรี,31.0 °C
ปทุมธานี,29.2 °C
สมุทรสงคราม,32.9 °C
อุทัยธานี,28.0 °C
นครปฐม,31.2 °C
สมุทรปราการ,30.0 °C
สระแก้ว,30.9 °C
ชลบุรี,30.1 °C
ระยอง,29.0 °C
ปราจีนบุรี,31.3 °C
ตราด,26.5 °C
จันทบุรี,28.0 °C
ฉะเชิงเทรา,31.3 °C
นครนายก,20.8 °C
ประจวบคีรีขันธ์,32.2 °C
ชุมพร,27.3 °C
นครศรีธรรมราช,27.5 °C
นราธิวาส,25.0 °C
สุราษฎร์ธานี,26.4 °C
ยะลา,31.8 °C
ปัตตานี,28.0 °C
สงขลา,32.2 °C
เพชรบุรี,31.0 °C
พัทลุง,28.0 °C
ระนอง,25.2 °C
ภูเก็ต,28.8 °C
กระบี่,29.3 °C
ตรัง,29.4 °C
พังงา,27.5 °C
สตูล,30.8 °C
บึงกาฬ,29.5 °C
